year,province,career_path_name,earnedIncome,prov_tax_amt,fed_tax_amt,tax_amt,current_endevor,afterTaxIncome,afterTaxAndCostsIncome,amtSavedThisYear,expenditureBias,Housing,Food,Transportation,educationCost,totalLivingCosts,contributions,investment_low,investment_avg,investment_high,investment_developTradingBot,yrs_Programming & Software Development,yrs_Version Control (Git),yrs_System Design & Architecture,yrs_Agile & DevOps Practices,yrs_Network Security,yrs_Security Monitoring & SIEM,yrs_Incident Response,yrs_Threat Analysis & Intelligence,yrs_Vulnerability Assessment,yrs_IT Consulting & Client Engagement,yrs_Business Process Analysis,yrs_Project Management,yrs_Enterprise Systems & ERP,yrs_PLC & Control System Programming,yrs_Instrumentation Calibration & Maintenance,yrs_Process Control & SCADA,yrs_Electrical Systems & Wiring,yrs_Industrial Cybersecurity,yrs_OT/IT Network Integration,yrs_Risk Assessment & Compliance (OT)
2050,Manitoba,I&C to Cybersecurity,245221.63210084627,37102.06398554725,55429.603309245416,92531.66729479266,Industrial Cybersecurity Analyst,152689.9648060536,82677.55575646214,82677.55575646214,0.0,35373.59747550618,19758.758714795127,14880.052859290157,0.0,70012.40904959147,82677.55575646214,1264786.25193671,1891247.5665076177,2943173.6747626923,12989859.162507903,0,0,0,0,6,6,0,0,0,0,0,0,0,25,19,25,19,9,6,9
2051,Manitoba,I&C to Cybersecurity,257629.8466851491,39261.093323215944,59027.98553869323,98289.07886190918,Industrial Cybersecurity Analyst,159340.7678232399,86874.25052740565,86874.25052740565,0.0,36788.54137452642,20351.52147623898,15326.454445068863,0.0,72466.51729583426,86874.25052740565,1414899.8150609513,2167246.5736857853,3471523.9765045014,16973691.161787678,0,0,0,0,7,7,0,0,0,0,0,0,0,26,19,26,19,10,7,10
2052,Manitoba,I&C to Cybersecurity,270665.9169274176,41529.36954537066,63295.802586047816,104825.17213141848,Industrial Cybersecurity Analyst,165840.74479599914,90832.34656754458,90832.34656754458,0.0,38260.083029507485,20962.067120526153,15786.24807842093,0.0,75008.39822845456,90832.34656754458,1576477.1523815435,2474803.577621909,4083084.919547721,22156630.856891528,0,0,0,0,8,8,0,0,0,0,0,0,0,27,19,27,19,11,8,11
2053,Manitoba,I&C to Cybersecurity,284361.6123239449,43912.42054436641,67815.38206690183,111727.80261126824,Industrial Cybersecurity Analyst,172633.80971267668,94992.55870707339,94992.55870707339,0.0,39790.48635068779,21590.929134141938,16259.835520773559,0.0,77641.25100560329,94992.55870707339,1750293.568707694,2817276.494091173,4790540.216186952,28898612.67266606,0,0,0,0,9,9,0,0,0,0,0,0,0,28,19,28,19,12,9,12
2054,Manitoba,I&C to Cybersecurity,298750.30990753655,46416.05392391136,72563.65226948707,118979.70619339842,Industrial Cybersecurity Analyst,179770.60371413812,99402.21031485987,99402.21031485987,0.0,41382.1058047153,22238.657008166196,16747.630586396765,0.0,80368.39339927825,99402.21031485987,1937210.4574579387,3198406.3538151504,5608523.4589298535,37667598.68478075,0,0,0,0,10,10,0,0,0,0,0,0,0,29,19,29,19,13,10,13
2055,Manitoba,I&C to Cybersecurity,313867.0755888579,49046.371152461266,77552.1849443231,126598.55609678436,Industrial Cybersecurity Analyst,187268.5194920735,104075.25323276976,104075.25323276976,0.0,43037.39003690391,22905.81671841118,17250.05950398867,0.0,83193.26625930375,104075.25323276976,2138146.2335636057,3622322.2424294353,6553877.231002101,49071953.54344774,0,0,0,0,11,11,0,0,0,0,0,0,0,30,19,30,19,14,11,14
2056,Manitoba,I&C to Cybersecurity,329748.7496136541,51809.78243277581,82793.13737250585,134602.91980528168,Industrial Cybersecurity Analyst,195145.82980837242,109026.3916609205,109026.3916609205,0.0,44758.885638380074,23592.991219963515,17767.56128910833,0.0,86119.43814745192,109026.3916609205,2354079.9369027065,4093580.8583332994,7645985.2073133355,63902565.99814299,0,0,0,0,12,12,0,0,0,0,0,0,0,31,19,31,19,15,12,15
2057,Manitoba,I&C to Cybersecurity,346434.036344105,54713.02232387427,88299.28199355466,143012.30431742893,Industrial Cybersecurity Analyst,203421.7320266761,114271.12187841682,114271.12187841682,0.0,46549.24106391528,24300.780956562423,18300.588127781575,0.0,89150.61014825928,114271.12187841682,2586055.0556262587,4617210.066045047,8907154.110288752,83187606.9194643,0,0,0,0,13,13,0,0,0,0,0,0,0,32,19,32,19,16,13,16
2058,Manitoba,I&C to Cybersecurity,363963.5985831167,57763.166153462305,94084.03753242851,151847.20368589082,Industrial Cybersecurity Analyst,212116.3948972259,119825.77403387969,119825.77403387969,0.0,48411.21070647189,25029.804385259296,18849.605771615024,0.0,92290.62086334621,119825.77403387969,2835183.5824414515,5198756.846683431,10363053.000865944,108263714.76933748,0,0,0,0,14,14,0,0,0,0,0,0,0,33,19,33,19,17,14,17
2059,Manitoba,I&C to Cybersecurity,382380.1566714224,60967.6472608275,100161.5017015694,161129.1489623969,Industrial Cybersecurity Analyst,221251.00770902552,125707.5561127142,125707.5561127142,0.0,50347.65913473077,25780.698516817072,19415.093944763477,0.0,95543.45159631132,125707.5561127142,3102650.3176762382,5844340.087464489,12043218.507108549,140868536.75625142,0,0,0,0,15,15,0,0,0,0,0,0,0,34,19,34,19,18,15,18
2060,Manitoba,I&C to Cybersecurity,401728.59259899636,64334.27511222536,106546.4855576688,170880.76066989417,Industrial Cybersecurity Analyst,230847.8319291022,131934.60019355422,131934.60019355422,0.0,52361.56550012001,26554.119472321585,19997.54676310638,0.0,98913.23173554798,131934.60019355422,3389717.4337536045,6560708.696404493,13981635.883368384,183261032.38332042,0,0,0,0,16,16,0,0,0,0,0,0,0,35,19,35,19,19,16,19
2061,Manitoba,I&C to Cybersecurity,422056.05938450556,67871.25433290396,113254.54959688683,181125.8039297908,Industrial Cybersecurity Analyst,240930.25545471476,138526.01111209916,138526.01111209916,0.0,54456.0281201248,27350.743056491236,20597.473165999574,0.0,102404.24434261561,138526.01111209916,3697729.316553384,7355305.577157043,16217407.27698574,238377868.10942864,0,0,0,0,17,17,0,0,0,0,0,0,0,36,19,36,19,20,17,20
2062,Manitoba,I&C to Cybersecurity,443412.0959893615,71587.2047021489,120302.04167648932,191889.2463786382,Industrial Cybersecurity Analyst,251522.84961072332,145501.91765662798,145501.91765662798,0.0,56634.2692449298,28171.265348185978,21215.397360979565,0.0,106020.93195409534,145501.91765662798,4028117.7000376815,8236338.052529376,18795520.286190227,310036730.45991385,0,0,0,0,18,18,0,0,0,0,0,0,0,37,19,37,19,21,18,21
2063,Manitoba,I&C to Cybersecurity,465848.74804642325,75491.18216007765,127706.13685531968,203197.31901539734,Industrial Cybersecurity Analyst,262651.4290310259,152883.52642585844,152883.52642585844,0.0,58899.64001472698,29016.403308631554,21851.859281808946,0.0,109767.90260516747,152883.52642585844,4382407.111465423,9212855.384208173,21767731.855544616,403200633.12431383,0,0,0,0,19,19,0,0,0,0,0,0,0,38,19,38,19,22,19,22
2064,Manitoba,I&C to Cybersecurity,489420.69469757227,79592.70087737757,135484.87925019884,215077.58012757642,Industrial Cybersecurity Analyst,274343.11456999584,160693.17848652607,160693.17848652607,0.0,61255.625615316065,29886.895407890504,22507.41506026322,0.0,113649.93608346979,160693.17848652607,4762220.645525221,10294834.101115517,25193584.81236283,524321516.24009454,0,0,0,0,20,20,0,0,0,0,0,0,0,39,19,39,19,23,20,23
2065,Manitoba,I&C to Cybersecurity,514185.3818492694,83901.75644177287,143657.2260102589,227558.98245203175,Industrial Cybersecurity Analyst,286626.39939723763,168954.4089751106,168954.4089751106,0.0,63705.850639928714,30783.502270127217,23182.637512071116,0.0,117671.99042212704,168954.4089751106,5169286.086776593,11493271.92020218,29141576.943192363,681786925.521098,0,0,0,0,21,21,0,0,0,0,0,0,0,40,19,40,19,24,21,24
2066,Manitoba,I&C to Cybersecurity,540203.1621708424,88428.85021772658,152243.093516378,240671.94373410457,Industrial Cybersecurity Analyst,299531.21843673784,177692.0097955477,177692.0097955477,0.0,66254.08466552586,31707.007338231033,23878.11663743325,0.0,121839.20864119014,177692.0097955477,5605442.40091097,12820291.122017948,33690505.49446677,886500695.187223,0,0,0,0,22,22,0,0,0,0,0,0,0,41,19,41,19,25,22,25
2067,Manitoba,I&C to Cybersecurity,567537.4421766871,93185.01493874354,161263.40591830673,254448.42085705028,Industrial Cybersecurity Analyst,313089.0213196368,186932.09557255567,186932.09557255567,0.0,68904.2480521469,32658.217558377968,24594.46013655625,0.0,126156.92574708111,186932.09557255567,6072646.616529074,14289252.3297923,38931013.41420933,1152637835.8389623,0,0,0,0,23,23,0,0,0,0,0,0,0,42,19,42,19,26,23,26
2068,Manitoba,I&C to Cybersecurity,596254.8367508274,98181.84159464396,170740.14612777304,268921.987722417,Industrial Cybersecurity Analyst,327332.8490284104,196702.17302839537,196702.17302839537,0.0,71660.41797423278,33637.96408512931,25332.293940652933,0.0,130630.67600001502,196702.17302839537,6572981.120383923,15914879.735799925,44967367.599369116,1498625888.7636795,0,0,0,0,24,24,0,0,0,0,0,0,0,43,19,43,19,27,24,27
2069,Manitoba,I&C to Cybersecurity,626425.3314904192,103431.50767933294,180696.40939183836,284127.9170711713,Industrial Cybersecurity Analyst,342297.41441924794,207031.21395949012,207031.21395949012,0.0,74526.8346932021,34647.10300768319,26092.262758872526,0.0,135266.20045975782,207031.21395949012,7108661.390362609,17713398.923339408,51919503.95323397,1948420686.6067429,0,0,0,0,25,25,0,0,0,0,0,0,0,44,19,44,19,28,25,28
2070,Manitoba,I&C to Cybersecurity,658122.4532638345,108946.80686790719,191156.45957706537,300103.26644497254,Industrial Cybersecurity Analyst,358019.1868188619,217949.73199837934,217949.73199837934,0.0,77507.90808093018,35686.516097913685,26875.030641638703,0.0,140069.45482048258,217949.73199837934,7682044.19187912,19702688.54767173,59925379.27821744,2533164842.320764,0,0,0,0,26,26,0,0,0,0,0,0,0,45,19,45,19,29,26,29
2071,Manitoba,I&C to Cybersecurity,691423.4493989843,114741.18019542327,202145.7883016648,316886.96849708806,Industrial Cybersecurity Analyst,374536.48090189626,229489.86335598992,229489.86335598992,0.0,80608.22440416738,36757.111580851095,27681.28156088786,0.0,145046.61754590634,229489.86335598992,8295636.264829066,21902447.265794896,69143676.03330605,3293343784.8803496,0,0,0,0,27,27,0,0,0,0,0,0,0,46,19,46,19,30,27,30
2072,Manitoba,I&C to Cybersecurity,726409.4759385731,120828.74881331171,213691.17705972912,334519.9258730408,Industrial Cybersecurity Analyst,391889.5500655323,241685.4517492071,241685.4517492071,0.0,83832.55338033408,37859.824928276634,28511.720007714495,0.0,150204.09831632522,241685.4517492071,8952103.529819727,24334377.444123592,79756912.89005116,4281588605.796204,0,0,0,0,28,28,0,0,0,0,0,0,0,47,19,47,19,31,28,31
2073,Manitoba,I&C to Cybersecurity,763165.7954210648,127224.34840326528,225820.76248895138,353045.1108922167,Industrial Cybersecurity Analyst,410120.68452884816,254572.13772922984,254572.13772922984,0.0,87185.85551554746,38995.61967612493,29367.071607945934,0.0,155548.5467996183,254572.13772922984,9654280.844039943,27022387.326265186,91975021.96128805,5566319759.672795,0,0,0,0,29,29,0,0,0,0,0,0,0,48,19,48,19,32,29,32
2074,Manitoba,I&C to Cybersecurity,801781.9846693706,133943.56533247046,238564.1049408923,372507.6702733628,Industrial Cybersecurity Analyst,429274.3143960078,268187.4526372455,268187.4526372455,0.0,90673.28973616935,40165.488266408676,30248.083756184315,0.0,161086.86175876233,268187.4526372455,10405182.338879187,29992813.51152895,106039462.70811848,7236483875.027272,0,0,0,0,30,30,0,0,0,0,0,0,0,49,19,49,19,33,30,33
2075,Manitoba,I&C to Cybersecurity,842352.1530936408,141002.7746382935,251952.26052090147,392955.03515919496,Industrial Cybersecurity Analyst,449397.11793444585,282570.9174255589,282570.9174255589,0.0,94300.22132561613,41370.452914400936,31155.526268869842,0.0,166826.20050888692,282570.9174255589,11208012.373248704,33274665.780107405,122227953.03176181,9407711608.452879,0,0,0,0,31,31,0,0,0,0,0,0,0,50,19,50,19,34,31,34
2026,Manitoba,Cybersecurity Focus with Education,40375.0,4360.5,5652.500000000001,10013.0,Masters in Cybersecurity,30362.0,-14728.0,0.0,0.0,13800.0,9720.0,7320.0,14250.0,45090.0,-14728.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,1,1,1
2027,Manitoba,Cybersecurity Focus with Education,40375.0,4360.5,5652.500000000001,10013.0,Masters in Cybersecurity,30362.0,-15791.199999999997,0.0,0.0,14352.0,10011.6,7539.6,14250.0,46153.2,-15791.199999999997,0.0,0.0,0.0,0.0,0,0,0,0,2,2,2,2,2,0,0,0,0,0,0,0,0,2,2,2
2028,Manitoba,Cybersecurity Focus with Education,40375.0,4360.5,5652.500000000001,10013.0,Masters in Cybersecurity,30362.0,-16891.816000000006,0.0,0.0,14926.080000000002,10311.948,7765.7880000000005,14250.0,47253.816000000006,-16891.816000000006,0.0,0.0,0.0,0.0,0,0,0,0,3,3,3,3,3,0,0,0,0,0,0,0,0,3,3,3
2029,Manitoba,Cybersecurity Focus with Education,26125.0,2821.5,3657.5000000000005,6479.0,PhD in Cybersecurity,19646.0,-25184.69128,0.0,0.0,15523.123200000002,10621.30644,7998.761640000001,10687.5,44830.69128,-25184.69128,0.0,0.0,0.0,0.0,1,0,0,0,4,4,4,4,4,0,0,0,0,0,0,0,0,4,4,4
2030,Manitoba,Cybersecurity Focus with Education,26125.0,2821.5,3657.5000000000005,6479.0,PhD in Cybersecurity,19646.0,-26364.21825040001,0.0,0.0,16144.048128000002,10939.9456332,8238.724489200002,10687.5,46010.21825040001,-26364.21825040001,0.0,0.0,0.0,0.0,2,0,0,0,5,5,5,5,5,0,0,0,0,0,0,0,0,5,5,5
2031,Manitoba,Cybersecurity Focus with Education,26125.0,2821.5,3657.5000000000005,6479.0,PhD in Cybersecurity,19646.0,-27585.340279192,0.0,0.0,16789.81005312,11268.144002196,8485.886223876001,10687.5,47231.340279192,-27585.340279192,0.0,0.0,0.0,0.0,3,0,0,0,6,6,6,6,6,0,0,0,0,0,0,0,0,6,6,6
2032,Manitoba,Cybersecurity Focus with Education,61856.05385739435,6970.1468668177795,8876.496040765842,15846.64290758362,SOC Level 1 Analyst,46009.41094981073,8201.357361711758,8201.357361711758,0.0,17461.402455244806,11606.188322261882,8740.46281059228,0.0,37808.05358809897,8201.357361711758,8201.357361711758,8201.357361711758,8201.357361711758,8201.357361711758,3,0,0,0,7,7,7,7,7,0,0,0,0,0,0,0,0,6,6,6
2033,Manitoba,Cybersecurity Focus with Education,64985.970182578494,7369.211198278757,9518.128887428593,16887.34008570735,SOC Level 1 Analyst,48098.630096871144,8981.720876576765,8981.720876576765,0.0,18159.858553454593,11954.373971929737,9002.67669491005,0.0,39116.90922029438,8981.720876576765,17593.14610637411,18003.2139744597,18413.281842545286,19643.48544680205,3,0,0,0,8,8,8,8,8,0,0,0,0,0,0,0,0,6,6,6
2034,Manitoba,Cybersecurity Focus with Education,68274.26027381697,7788.468184911663,10192.228356132478,17980.69654104414,SOC Level 1 Analyst,50293.563732772825,9821.54865033507,9821.54865033507,0.0,18886.252895592777,12313.00519108763,9272.75699575735,0.0,40472.015082437756,9821.54865033507,28294.352062027887,29625.084022240742,30996.822769262148,35358.079731177735,3,0,0,0,9,9,9,9,9,0,0,0,0,0,0,0,0,6,6,6
2035,Manitoba,Cybersecurity Focus with Education,71728.9378436721,8228.939575068192,10900.43725795278,19129.37683302097,SOC Level 1 Analyst,52599.56101065113,10724.522946784302,10724.522946784302,0.0,19641.70301141649,12682.395346820262,9550.939705630073,0.0,41875.03806386683,10724.522946784302,40433.592611913584,43312.11537124912,46370.86913143577,56690.02659731536,3,0,0,0,10,10,10,10,10,0,0,0,0,0,0,0,0,6,6,6
2036,Manitoba,Cybersecurity Focus with Education,106484.7268784027,12961.84247684207,18025.374010072555,30987.216486914625,SOC Level 2 Analyst,75497.51039148807,32169.804155591075,32169.804155591075,0.0,20427.37113187315,13062.86720722487,9837.467896798975,0.0,43327.706235897,32169.804155591075,74625.07639810034,79813.13106396512,85496.30365674221,105866.83873210104,4,0,0,0,11,11,11,11,11,0,0,0,0,0,0,0,0,6,6,6
2037,Manitoba,Cybersecurity Focus with Education,111872.85405844987,13899.376606170277,19129.940081982226,33029.3166881525,SOC Level 2 Analyst,78843.53737029736,34011.72623600472,34011.72623600472,0.0,21244.46597714808,13454.753223441614,10132.591933702945,0.0,44831.81113429264,34011.72623600472,112368.05645401007,121806.17040636635,132332.47544125826,171638.61658773606,5,0,0,0,12,12,12,12,12,0,0,0,0,0,0,0,0,6,6,6
2038,Manitoba,Cybersecurity Focus with Education,117533.62047380743,14884.349962442493,20317.271323189932,35201.62128563243,SOC Level 2 Analyst,82331.999188175,35942.789060082105,35942.789060082105,0.0,22094.244616234006,13858.395820144862,10436.569691714032,0.0,46389.2101280929,35942.789060082105,153929.2483367927,169929.57650708512,188125.13581752908,259072.990624139,6,0,0,0,13,13,13,13,13,0,0,0,0,0,0,0,0,6,6,6
2039,Manitoba,Cybersecurity Focus with Education,123480.82166978209,15919.162970542084,21863.54363414334,37782.70660468542,SOC Level 2 Analyst,85698.11506509667,37696.286186998645,37696.286186998645,0.0,22978.014400883367,14274.147694749208,10749.666782465454,0.0,48001.82887809803,37696.286186998645,199321.99694063098,224618.8203447923,254040.19237715707,374491.1739983794,7,0,0,0,14,14,14,14,14,0,0,0,0,0,0,0,0,6,6,6
2040,Manitoba,Cybersecurity Focus with Education,129728.95124627306,17006.337516851512,23488.057324030997,40494.39484088251,SOC Level 2 Analyst,89234.55640539055,39562.892516940745,39562.892516940745,0.0,23897.1349769187,14702.372125591686,11072.15678593942,0.0,49671.66388844981,39562.892516940745,248850.98930460328,286643.59489621234,331709.1137506714,526401.4187148339,8,0,0,0,15,15,15,15,15,0,0,0,0,0,0,0,0,6,6,6
2041,Manitoba,Cybersecurity Focus with Education,136293.2361793345,18148.5230952042,25194.77140662697,43343.29450183117,SOC Level 2 Analyst,92949.94167750332,41549.15652263083,41549.15652263083,0.0,24853.020375995446,15143.443289359438,11404.3214895176,0.0,51400.78515487249,41549.15652263083,302842.6952924643,356857.1109084644,423014.6373359029,725871.000851915,9,0,0,0,16,16,16,16,16,0,0,0,0,0,0,0,0,6,6,6
2042,Manitoba,Cybersecurity Focus with Education,143189.6739300088,19348.503263821534,26987.84522180229,46336.34848562382,SOC Level 2 Analyst,96853.32544438499,43661.98653110636,43661.98653110636,0.0,25847.14119103527,15597.746588040223,11746.45113420313,0.0,53191.338913278625,43661.98653110636,361646.8165881939,436204.8085304172,530128.8194673946,987294.2876385959,10,0,0,0,17,17,17,17,17,0,0,0,0,0,0,0,0,6,6,6
2043,Manitoba,Cybersecurity Focus with Education,173578.92857407758,24636.233571889497,34889.05142926017,59525.28500114967,Industrial Cybersecurity Analyst,114053.64357292792,59008.09308034059,59008.09308034059,0.0,26881.026838676677,16065.678985681428,12098.844668229223,0.0,55045.550492587325,59008.09308034059,438737.2504979442,538833.3824637996,668656.2354678444,1342490.6670105155,10,0,0,0,18,18,17,17,17,0,0,0,0,1,0,1,0,7,7,7
2044,Manitoba,Cybersecurity Focus with Education,182362.0223599259,26164.491890627105,37200.31648437851,63364.80837500562,Industrial Cybersecurity Analyst,118997.2139849203,62031.486709168574,62031.486709168574,0.0,27956.267912223746,16547.649355251873,12461.810008276101,0.0,56965.72727575172,62031.486709168574,522705.59973201,654748.2074193481,830986.1574971896,1807269.3538228387,10,0,0,0,19,19,17,17,17,0,0,0,0,2,0,2,0,8,8,8
2045,Manitoba,Cybersecurity Focus with Education,191589.54069133816,27770.08008029284,39876.29680048807,67646.37688078091,Industrial Cybersecurity Analyst,123943.16381055725,64988.902037410735,64988.902037410735,0.0,29074.5186287127,17044.07883590943,12835.664308524383,0.0,58954.261773146514,64988.902037410735,613829.7817560213,785211.9301986936,1020622.9831591788,2414439.062007101,10,0,0,0,20,20,17,17,17,0,0,0,0,3,0,3,0,9,9,9
2046,Manitoba,Cybersecurity Focus with Education,201283.97145031986,29456.911032355656,42687.68172059276,72144.59275294842,Industrial Cybersecurity Analyst,129139.37869737145,68125.74388474341,68125.74388474341,0.0,30237.499373861207,17555.401200986715,13220.734237780116,0.0,61013.634812628035,68125.74388474341,712647.0147285658,931858.8671033065,1241842.174517799,3206896.524493974,10,0,0,0,21,21,17,17,17,0,0,0,0,4,0,4,0,10,10,10
2047,Manitoba,Cybersecurity Focus with Education,211468.94040570606,31229.095630592852,45641.32271765476,76870.41834824761,Industrial Cybersecurity Analyst,134598.52205745847,71452.10320671297,71452.10320671297,0.0,31446.999348815658,18082.063237016315,13617.35626491352,0.0,63146.4188507455,71452.10320671297,819731.4686717071,1096496.8570203502,1499570.6039021816,4240417.5850488795,10,0,0,0,22,22,17,17,17,0,0,0,0,5,0,5,0,11,11,11
2048,Manitoba,Cybersecurity Focus with Education,222169.26879023478,33090.95276950085,48744.417949168084,81835.37071866894,Industrial Cybersecurity Analyst,140333.89807156584,74978.61666180982,74978.61666180982,0.0,32704.879322768284,18624.5251341268,14025.876952860926,0.0,65355.28140975601,74978.61666180982,935696.6587671023,1281125.1593841952,1799484.8111493185,5587521.477225353,10,0,0,0,23,23,17,17,17,0,0,0,0,6,0,6,0,12,12,12
2049,Manitoba,Cybersecurity Focus with Education,233411.03379102063,35047.01987963759,52004.52979939598,87051.54967903357,Industrial Cybersecurity Analyst,146359.48411198705,78716.49546671068,78716.49546671068,0.0,34013.074495679015,19183.26088815061,14446.653261446754,0.0,67642.98864527637,78716.49546671068,1061197.9871721682,1487954.1707893256,2148124.028288427,7342494.41585967,10,0,0,0,24,24,17,17,17,0,0,0,0,7,0,7,0,13,13,13
2050,Manitoba,Cybersecurity Focus with Education,245221.63210084627,37102.06398554725,55429.603309245416,92531.66729479266,Industrial Cybersecurity Analyst,152689.9648060536,82677.55575646214,82677.55575646214,0.0,35373.59747550618,19758.758714795127,14880.052859290157,0.0,70012.40904959147,82677.55575646214,1196935.4422872388,1719427.1436247204,2553020.1882881527,9627920.296374034,10,0,0,0,25,25,17,17,17,0,0,0,0,8,0,8,0,14,14,14
2051,Manitoba,Cybersecurity Focus with Education,257629.8466851491,39261.093323215944,59027.98553869323,98289.07886190918,Industrial Cybersecurity Analyst,159340.7678232399,86874.25052740565,86874.25052740565,0.0,36788.54137452642,20351.52147623898,15326.454445068863,0.0,72466.51729583426,86874.25052740565,1343656.4649290065,1978244.1085145983,3022847.467058781,12603170.635813652,10,0,0,0,26,26,17,17,17,0,0,0,0,9,0,9,0,15,15,15
2052,Manitoba,Cybersecurity Focus with Education,270665.9169274176,41529.36954537066,63295.802586047816,104825.17213141848,Industrial Cybersecurity Analyst,165840.74479599914,90832.34656754458,90832.34656754458,0.0,38260.083029507485,20962.067120526153,15786.24807842093,0.0,75008.39822845456,90832.34656754458,1501671.6347430015,2266900.865933603,3567106.9336851425,16474954.173125293,10,0,0,0,27,27,17,17,17,0,0,0,0,10,0,10,0,16,16,16
2053,Manitoba,Cybersecurity Focus with Education,284361.6123239449,43912.42054436641,67815.38206690183,111727.80261126824,Industrial Cybersecurity Analyst,172633.80971267668,94992.55870707339,94992.55870707339,0.0,39790.48635068779,21590.929134141938,16259.835520773559,0.0,77641.25100560329,94992.55870707339,1671747.775187225,2588583.511234037,4197165.532444987,21512432.983769953,10,0,0,0,28,28,17,17,17,0,0,0,0,11,0,11,0,17,17,17
2054,Manitoba,Cybersecurity Focus with Education,298750.30990753655,46416.05392391136,72563.65226948707,118979.70619339842,Industrial Cybersecurity Analyst,179770.60371413812,99402.21031485987,99402.21031485987,0.0,41382.1058047153,22238.657008166196,16747.630586396765,0.0,80368.39339927825,99402.21031485987,1854737.3742614463,2946844.072672301,4926142.572626594,28065565.0892158,10,0,0,0,29,29,17,17,17,0,0,0,0,12,0,12,0,18,18,18
2055,Manitoba,Cybersecurity Focus with Education,313867.0755888579,49046.371152461266,77552.1849443231,126598.55609678436,Industrial Cybersecurity Analyst,187268.5194920735,104075.25323276976,104075.25323276976,0.0,43037.39003690391,22905.81671841118,17250.05950398867,0.0,83193.26625930375,104075.25323276976,2051549.4962072885,3345603.733172301,5769139.211753353,36589309.86921331,10,0,0,0,30,30,17,17,17,0,0,0,0,13,0,13,0,19,19,19
2056,Manitoba,Cybersecurity Focus with Education,329748.7496136541,51809.78243277581,82793.13737250585,134602.91980528168,Industrial Cybersecurity Analyst,195145.82980837242,109026.3916609205,109026.3916609205,0.0,44758.885638380074,23592.991219963515,17767.56128910833,0.0,86119.43814745192,109026.3916609205,2263153.3626785735,3789190.498150452,6743536.485177275,47675129.22163823,10,0,0,0,31,31,17,17,17,0,0,0,0,14,0,14,0,20,20,20
2057,Manitoba,Cybersecurity Focus with Education,346434.036344105,54713.02232387427,88299.28199355466,143012.30431742893,Industrial Cybersecurity Analyst,203421.7320266761,114271.12187841682,114271.12187841682,0.0,46549.24106391528,24300.780956562423,18300.588127781575,0.0,89150.61014825928,114271.12187841682,2490582.152690919,4282380.669843915,7869338.079832283,62091939.11000812,10,0,0,0,32,32,17,17,17,0,0,0,0,15,0,15,0,21,21,21
2058,Manitoba,Cybersecurity Focus with Education,363963.5985831167,57763.166153462305,94084.03753242851,151847.20368589082,Industrial Cybersecurity Analyst,212116.3948972259,119825.77403387969,119825.77403387969,0.0,48411.21070647189,25029.804385259296,18849.605771615024,0.0,92290.62086334621,119825.77403387969,2734937.034359345,4830444.510862187,9169564.565841004,80839346.61704443,10,0,0,0,33,33,17,17,17,0,0,0,0,16,0,16,0,22,22,22
2059,Manitoba,Cybersecurity Focus with Education,382380.1566714224,60967.6472608275,100161.5017015694,161129.1489623969,Industrial Cybersecurity Analyst,221251.00770902552,125707.5561127142,125707.5561127142,0.0,50347.65913473077,25780.698516817072,19415.093944763477,0.0,95543.45159631132,125707.5561127142,2997391.442190027,5439196.51806112,10670706.806829868,105216858.1582705,10,0,0,0,34,34,17,17,17,0,0,0,0,17,0,17,0,23,23,23
2060,Manitoba,Cybersecurity Focus with Education,401728.59259899636,64334.27511222536,106546.4855576688,170880.76066989417,Industrial Cybersecurity Analyst,230847.8319291022,131934.60019355422,131934.60019355422,0.0,52361.56550012001,26554.119472321585,19997.54676310638,0.0,98913.23173554798,131934.60019355422,3279195.6144930823,6115050.770060787,12403247.428047901,136913850.2059452,10,0,0,0,35,35,17,17,17,0,0,0,0,18,0,18,0,24,24,24
2061,Manitoba,Cybersecurity Focus with Education,422056.05938450556,67871.25433290396,113254.54959688683,181125.8039297908,Industrial Cybersecurity Analyst,240930.25545471476,138526.01111209916,138526.01111209916,0.0,54456.0281201248,27350.743056491236,20597.473165999574,0.0,102404.24434261561,138526.01111209916,3581681.4063298358,6865081.858178966,14402260.553367184,178126531.27884084,10,0,0,0,36,36,17,17,17,0,0,0,0,19,0,19,0,25,25,25
2062,Manitoba,Cybersecurity Focus with Education,443412.0959893615,71587.2047021489,120302.04167648932,191889.2463786382,Industrial Cybersecurity Analyst,251522.84961072332,145501.91765662798,145501.91765662798,0.0,56634.2692449298,28171.265348185978,21215.397360979565,0.0,106020.93195409534,145501.91765662798,3906267.394302956,7697091.9616534915,16708101.55402889,231709992.58014974,10,0,0,0,37,37,17,17,17,0,0,0,0,20,0,20,0,26,26,26
2063,Manitoba,Cybersecurity Focus with Education,465848.74804642325,75491.18216007765,127706.13685531968,203197.31901539734,Industrial Cybersecurity Analyst,262651.4290310259,152883.52642585844,152883.52642585844,0.0,58899.64001472698,29016.403308631554,21851.859281808946,0.0,109767.90260516747,152883.52642585844,4254464.290443962,8619684.6842447,19367200.313559078,301375873.88062054,10,0,0,0,38,38,17,17,17,0,0,0,0,21,0,21,0,27,27,27
